ncaa;8164;3;78;480434819864457216;QB;CAR;Matt Corral;0
ncaa;8308;3;79;578250856315527168;DB;HOU;Derek Stingley;0
ncaa;8343;3;80;546419078233067520;DL;SEA;Boye Mafe;0
ncaa;8432;3;81;540964688917606400;TE;;Sean Dykes;0
ncaa;8360;3;82;823653466877603840;DL;TB;Logan Hall;0
ncaa;8174;3;83;434382654784139264;RB;NE;Kevin Harris;0
ncaa;8392;3;84;569184572795645952;DB;IND;Nick Cross;0
ncaa;8629;3;85;546419078233067520;DL;;Will Miles;0
ncaa;8296;3;86;339070586716180480;DB;BUF;Kaiir Elam;0
ncaa;8300;3;87;462315268878626816;DB;MIN;Andrew Booth;0
ncaa;8110;3;88;463555918257188864;TE;DAL;Jake Ferguson;0
ncaa;8145;3;89;463903005305991168;TE;NYJ;Jeremy Ruckert;0
ncaa;8111;3;90;408347346041057280;TE;TB;Cade Otton;0
ncaa;8179;3;91;571434520036110336;RB;JAX;Snoop Conner;0
ncaa;8115;3;92;428315594824089600;TE;BUF;Jalen Wydermyer;0
ncaa;8383;3;93;546419078233067520;DL;ARI;Cameron Thomas;0
ncaa;8208;3;94;471775830175903744;RB;BAL;Tyler Badie;0
ncaa;8351;3;95;589946621807071232;DL;SF;Drake Jackson;0
ncaa;8382;3;96;408347346041057280;DL;GB;Kingsley Enagbare;0
ncaa;8210;4;97;589946621807071232;TE;TEN;Chigoziem Okonkwo;0
ncaa;8324;4;98;546419078233067520;LB;CAR;Brandon Smith;0
ncaa;8319;4;99;458863539524726784;DL;PIT;DeMarvin Leal;0
ncaa;8114;4;100;556150823695777792;WR;MIA;Erik Ezukanma;0
ncaa;8303;4;101;428315594824089600;DB;TEN;Roger McCreary;0
ncaa;8230;4;102;471823032994754560;RB;MIN;Ty Chandler;0
ncaa;8189;4;103;471514833125109760;RB;CHI;Trestan Ebner;0
ncaa;8395;4;104;475033003865665536;DB;NYG;Dane Belton;0
ncaa;8131;4;105;471823032994754560;TE;BAL;Isaiah Likely;0
ncaa;8365;4;106;576522932700880896;DB;CHI;Kyler Gordon;0
ncaa;8309;4;107;438928331006537728;LB;DAL;Damone Clark;0
ncaa;8190;4;108;474309219739234304;RB;NO;Abram Smith;0
ncaa;8214;4;109;548017500283744256;TE;WAS;Cole Turner;0
ncaa;8293;4;110;578250856315527168;DB;SEA;Coby Bryant;0
ncaa;8279;4;111;589946621807071232;DL;CLE;Perrion Winfrey;0
ncaa;8152;4;112;426836322976534528;RB;PHI;Kennedy Brooks;0
ncaa;8157;4;113;578250856315527168;QB;NE;Bailey Zappe;0
ncaa;8158;4;114;463903005305991168;QB;PHI;Carson Strong;0
ncaa;8127;4;115;434382654784139264;TE;BAL;Charlie Kolar;0
ncaa;8177;4;116;471823032994754560;TE;PHI;Grant Calcaterra;0
ncaa;8204;4;117;546419078233067520;WR;SEA;Bo Melton;0
