calvinjohnson;8273;5;76;339070586716180480;DL;WAS;Phidarian Mathis
calvinjohnson;8283;5;77;448350234741829632;LB;MIN;Brian Asamoah
calvinjohnson;8205;5;78;395712299588927488;RB;KC;Isaih Pacheco
calvinjohnson;8145;5;79;428315594824089600;TE;NYJ;Jeremy Ruckert
calvinjohnson;8171;5;80;380434373155102720;WR;TEN;Kyle Philips
calvinjohnson;8348;6;81;466789976407797760;DB;DET;Kerby Joseph
calvinjohnson;8123;6;82;385289320053108736;RB;TEN;Hassan Haskins
calvinjohnson;8364;6;83;548017500283744256;DB;KC;Trent McDuffie
calvinjohnson;8110;6;84;423947428530495488;TE;DAL;Jake Ferguson
calvinjohnson;8225;6;85;434893176587677696;TE;NYG;Daniel Bellinger
calvinjohnson;8300;6;86;342994940214812672;DB;MIN;Andrew Booth
calvinjohnson;8111;6;87;434181502222200832;TE;TB;Cade Otton
calvinjohnson;8400;6;88;823653466877603840;DL;BAL;Travis Jones
calvinjohnson;8309;6;89;434382654784139264;LB;DAL;Damone Clark
calvinjohnson;8311;6;90;452619697758662656;LB;BUF;Terrel Bernard
calvinjohnson;8319;6;91;436635062117593088;DL;PIT;DeMarvin Leal
calvinjohnson;8365;6;92;339070586716180480;DB;CHI;Kyler Gordon
calvinjohnson;8324;6;93;448350234741829632;LB;CAR;Brandon Smith
calvinjohnson;8293;6;94;395712299588927488;DB;SEA;Coby Bryant
calvinjohnson;8162;6;95;428315594824089600;QB;WAS;Sam Howell
calvinjohnson;8208;6;96;380434373155102720;RB;BAL;Tyler Badie
